point_id,t_skin,n_str,h_str,t_str,mass_kg,lambda_1,N_cr_per_mm,meets_target
88,2.5342,2,20.83803,1.19115,1.47802,6.532025,96.8308,False
89,1.3452,4,37.57567,1.1062,0.97904,17.065320,105.1031,False
90,1.49321,5,31.81434,2.45594,1.37326,21.118810,256.1742,False
91,2.8254,5,14.51994,2.50252,1.82346,1.990067,163.5350,False
92,1.68791,5,38.03111,2.39171,1.57065,20.247210,354.7450,True
93,1.18034,3,31.61354,2.21616,0.94842,21.139520,56.2908,False
94,1.51945,4,29.09478,1.98302,1.16560,19.018330,168.8000,False
96,2.19628,6,19.82241,1.56285,1.47950,3.779840,198.5790,False
97,1.16257,3,18.86906,2.24371,0.82293,20.552630,52.2932,False
98,1.43752,4,23.18761,2.68425,1.14532,21.044160,158.1663,False
99,1.71917,6,30.34956,1.34527,1.29637,16.878480,425.2914,True
100,1.97592,5,28.64162,1.3403,1.36541,13.303040,373.9058,True
101,2.07921,3,24.13308,2.37576,1.39513,17.711430,257.7920,False
102,1.48547,3,12.51049,2.63172,0.96321,8.946364,47.4853,False
103,2.05494,3,12.83764,1.51463,1.22363,3.092105,43.4483,False
104,2.02076,5,20.12654,2.16377,1.42621,7.368216,221.5184,False
105,1.39969,3,15.52007,1.50441,0.87559,11.443280,50.8121,False
106,1.14438,3,36.26044,2.14813,0.96109,21.316130,51.7297,False
107,1.94514,4,37.11391,2.86896,1.67352,20.094120,374.1642,True
108,1.12578,4,25.53494,2.04198,0.91584,21.070400,76.0631,False
109,2.87211,3,23.75456,2.99466,1.89353,9.238010,354.4070,True
110,1.06455,6,25.38742,2.65833,1.15474,23.691240,141.7368,False
111,1.91616,2,36.49826,2.01012,1.26934,17.716130,113.5291,False
112,2.65527,5,35.49042,1.53421,1.85476,11.722370,799.5483,True
113,1.96069,3,13.08028,2.01958,1.20030,4.262929,52.0302,False
114,1.38447,6,30.52656,2.19364,1.32825,21.224830,279.3133,False
115,2.86762,5,17.33127,2.31895,1.87372,2.437488,209.4163,False
116,2.06007,5,32.8694,1.96158,1.59351,17.555070,559.1801,True
118,2.1451,3,32.67057,2.55162,1.54030,18.375580,293.7003,False
119,2.32291,6,22.54386,2.42495,1.74747,6.319388,392.7977,True
120,1.27155,4,11.4448,2.12785,0.84238,6.984572,36.3313,False
